EthiopianMonth,EthMonNum,EthYear,RegionName,ZoneName,WoredaName,DeliveredPrivateClinics,DeliveredPublicClinics,DeliveredOther,DeliveredTotal
Tir,5th,2010,Oromia,West Shewa,Ejersa Lafo,41,98,26,165
Nehase,12th,2010,Oromia,Jimma,Gera,18,29,87,134
Ginbot,9th,2011,Oromia,Guji,Aga Wayyu,85,36,18,139
Teqemt,2nd,2010,Oromia,West Hararge,Meiso,92,6,0,98
Sene,10th,2009,Oromia,Bale,Meda Welabu,80,15,47,142
Nehase,12th,2009,Oromia,Bale,Raitu,59,8,90,157
Yekatit,6th,2009,Oromia,Bale,Goro,24,86,81,191
Tahesas,4th,2011,Oromia,Lege Dadi Lege Tafo Town,Lege Dadi Lege Tafo Town,6,67,15,88
Megabit,7th,2009,Oromia,West Wellega,Nejo Rural,47,72,0,119
Meskerem,1st,2010,Oromia,Buno Bedele,Diga,98,54,45,197
Ginbot,9th,2010,Oromia,West Shewa,Midakegni,60,49,65,174
Sene,10th,2010,Oromia,West Shewa,Ilu Galan,64,50,90,204
Sene,10th,2009,Oromia,Borena,Guchi,74,18,16,108
Tir,5th,2011,Oromia,Horo Gudru Wellega,Hababo Guduru,47,0,91,138
Megabit,7th,2010,Oromia,West Wellega,Begi Hospital,40,89,19,148
Ginbot,9th,2010,Oromia,Dukem Town,Dukem Town,2,72,48,122
Sene,10th,2010,Oromia,West Shewa,Dendi,14,2,81,97
Yekatit,6th,2010,Oromia,Jimma,Omonada,14,69,14,97
Ginbot,9th,2010,Oromia,Guji,Goro Dola,57,95,6,158
Teqemt,2nd,2011,Oromia,South West Shewa,Ameya,83,27,15,125
Meskerem,1st,2011,Oromia,West Wellega,Nejo Town,57,33,25,115
Teqemt,2nd,2010,Oromia,Arsi,Merti,65,62,82,209
Teqemt,2nd,2010,Oromia,East Hararge,Girawa,15,98,99,212
Miyazia,8th,2010,Oromia,Arsi,Ludehetosa,37,3,51,91
Tahesas,4th,2011,Oromia,Bale,Legehida,11,1,25,37
Tir,5th,2011,Oromia,West Arsi,Gedeb Asasa,37,9,2,48
Sene,10th,2009,Oromia,Arsi,Aseko,5,1,43,49
Miyazia,8th,2010,Oromia,Qeleme Wellega,Yemalogi Wolel,93,83,36,212
Miyazia,8th,2011,Oromia,East Shewa,Bora,84,96,65,245
Tir,5th,2010,Oromia,East Hararge,Kombolicha,18,55,35,108
Megabit,7th,2009,Oromia,Qeleme Wellega,Dambi Dollo,40,93,64,197
Tir,5th,2010,Oromia,Jimma,Limu Hospital,54,63,20,137
Hedar,3rd,2011,Oromia,West Arsi,Shala,74,62,71,207
Teqemt,2nd,2010,Oromia,North Shewa,Were Jarso,22,36,52,110
Ginbot,9th,2011,Oromia,Ilu Aba Bora,Metu Town,66,89,53,208
Meskerem,1st,2011,Oromia,West Shewa,Ambo Hospital,30,14,22,66
Yekatit,6th,2010,Oromia,South West Shewa,Sodo Dac'Ha,40,83,51,174
Nehase,12th,2010,Oromia,Bale,Gasera,30,22,53,105
Sene,10th,2011,Oromia,West Shewa,Nono,9,98,12,119
Miyazia,8th,2011,Oromia,North Shewa,Were Jarso,33,11,99,143
Yekatit,6th,2010,Oromia,East Shewa,Fentale,25,76,4,105
Miyazia,8th,2011,Oromia,Jimma,Omo Nada Hospital,97,79,41,217
Meskerem,1st,2011,Oromia,Jimma,Gera,71,42,65,178
Teqemt,2nd,2011,Oromia,Finfine Zuria,Berreh,40,62,31,133
Miyazia,8th,2009,Oromia,South West Shewa,Sodo Dac'Ha,49,79,44,172
Ginbot,9th,2009,Oromia,North Shewa,Kuyu,69,12,3,84
Tir,5th,2010,Oromia,Jimma Spe Town,Jimma Spe Town,66,13,98,177
Sene,10th,2010,Oromia,Bale,Legehida,5,90,82,177
Hedar,3rd,2011,Oromia,West Guji,Bule Hora,35,89,29,153
Ginbot,9th,2011,Oromia,Qeleme Wellega,Laloqile,7,23,91,121
Hedar,3rd,2010,Oromia,Bale,Gura Dhamole,17,78,80,175
Meskerem,1st,2011,Oromia,South West Shewa,Tole,9,62,66,137
Teqemt,2nd,2010,Oromia,West Hararge,Chiro Town,78,31,61,170
Sene,10th,2009,Oromia,Guji,Negele Hospital,25,74,97,196
Ginbot,9th,2011,Oromia,Jimma,Seka Chekorsa,25,14,78,117
Megabit,7th,2010,Oromia,Lege Dadi Lege Tafo Town,Lege Dadi Lege Tafo Town,4,26,42,72
Yekatit,6th,2010,Oromia,Borena,Dubluk,71,95,11,177
Tir,5th,2009,Oromia,Ilu Aba Bora,Didu,30,19,72,121
Nehase,12th,2010,Oromia,Bale,Legehida,46,4,7,57
Hamle,11th,2010,Oromia,East Wellega,Gobu Seyo,83,14,34,131
Yekatit,6th,2010,Oromia,Arsi,Zeway Dugda,31,55,61,147
Megabit,7th,2010,Oromia,East Hararge,Garemuleta Hospital,42,12,31,85
Hamle,11th,2009,Oromia,Guji,Shakiso Town,17,58,16,91
Tir,5th,2011,Oromia,West Hararge,Chiro Hospital,92,13,30,135
Sene,10th,2009,Oromia,West Hararge,West Harerge	Gumbi Bordede,3,82,86,171
Meskerem,1st,2010,Oromia,East Hararge,Deder Town,4,57,80,141
Tahesas,4th,2010,Oromia,Arsi,Ludehetosa,9,14,73,96
Sene,10th,2009,Oromia,Bale,Goba Town,62,84,90,236
Ginbot,9th,2009,Oromia,Arsi,Bale Gesgara,38,57,91,186
Yekatit,6th,2009,Oromia,Ilu Aba Bora,Halu,2,90,16,108
Tir,5th,2010,Oromia,Arsi,Zeway Dugda,9,3,57,69
Tir,5th,2010,Oromia,Jimma,B/Tolyi,9,81,53,143
Ginbot,9th,2010,Oromia,Jimma Spe Town,Jimma Spe Town,1,41,98,140
Tahesas,4th,2010,Oromia,North Shewa,Aleiltu,28,14,41,83
Yekatit,6th,2010,Oromia,Qeleme Wellega,Gawo Qebe,47,61,44,152
Nehase,12th,2010,Oromia,Horo Gudru Wellega,Gudru,48,90,32,170
Sene,10th,2009,Oromia,Bale,Agarfa,0,73,15,88
Teqemt,2nd,2011,Oromia,West Hararge,Burka Dimtu,90,52,26,168
Yekatit,6th,2011,Oromia,North Shewa,Girar Jarso,43,43,67,153
Hamle,11th,2009,Oromia,South West Shewa,Wonchi,24,79,54,157
Tahesas,4th,2011,Oromia,East Hararge,Bedeno,55,18,87,160
Tahesas,4th,2010,Oromia,Finfine Zuria,Walmera,86,46,84,216
Sene,10th,2011,Oromia,East Wellega,Gobu Seyo,15,75,9,99
Sene,10th,2010,Oromia,Buno Bedele,Boricha,72,18,77,167
Miyazia,8th,2009,Oromia,South West Shewa,Dawo,87,29,16,132
Hamle,11th,2009,Oromia,West Guji,Kercha Hospital,85,77,6,168
Meskerem,1st,2011,Oromia,West Shewa,Dano,83,99,37,219
Nehase,12th,2009,Oromia,North Shewa,Jido,8,99,14,121
Sene,10th,2009,Oromia,Jimma,Limu Seka,67,35,81,183
Miyazia,8th,2010,Oromia,West Hararge,Doba,8,0,10,18
Hamle,11th,2010,Oromia,Jimma,Seka Chhokorsa Hospital,39,8,76,123
Miyazia,8th,2009,Oromia,North Shewa,Kuyu,18,99,52,169
Hedar,3rd,2011,Oromia,North Shewa,Kuyu Hospital,4,18,3,25
Teqemt,2nd,2011,Oromia,Qeleme Wellega,Anfilo,91,80,13,184
Megabit,7th,2010,Oromia,North Shewa,Fiche Hospital,74,5,21,100
Hedar,3rd,2011,Oromia,West Wellega,Seyo Nole,31,8,0,39
Tahesas,4th,2010,Oromia,Jimma,Nono Benja,96,62,17,175
Ginbot,9th,2009,Oromia,Arsi,Sude,23,51,21,95
Yekatit,6th,2009,Oromia,East Hararge,Bisidimo Hospital,91,44,89,224
Ginbot,9th,2010,Oromia,Ilu Aba Bora,Darimu,56,68,24,148
Tir,5th,2011,Oromia,East Wellega,Boneya Bushe,81,43,47,171
Miyazia,8th,2009,Oromia,East Hararge,Midega Tole,98,61,88,247
Yekatit,6th,2009,Oromia,Jimma,Nono Benja,58,67,23,148
Megabit,7th,2011,Oromia,West Wellega,Guliso,7,83,76,166
Ginbot,9th,2011,Oromia,Guji,Wadara,78,23,47,148
Ginbot,9th,2010,Oromia,West Wellega,Lata Sibu,85,98,43,226
Ginbot,9th,2009,Oromia,Buno Bedele,Dapho Hana,80,89,64,233
Hedar,3rd,2010,Oromia,West Wellega,Nole Kaba,52,34,67,153
Megabit,7th,2010,Oromia,East Wellega,Nunu Qumba,84,10,90,184
Ginbot,9th,2009,Oromia,Arsi,Merti,62,77,98,237
Tahesas,4th,2010,Oromia,Buno Bedele,Bedele Zuriya,59,56,16,131
Hedar,3rd,2011,Oromia,Borena,Guchi,61,50,0,111
Ginbot,9th,2009,Oromia,Finfine Zuria,Walmera,25,94,20,139
Ginbot,9th,2010,Oromia,Qeleme Wellega,Gawo Qebe,0,39,27,66
Miyazia,8th,2009,Oromia,West Shewa,Jibat,50,19,53,122
Teqemt,2nd,2010,Oromia,East Shewa,Fentale,36,10,42,88
Hamle,11th,2010,Oromia,Adama Special Town,Adama Town,5,47,47,99
Nehase,12th,2010,Oromia,Ilu Aba Bora,Metu Rural,45,1,63,109
Hedar,3rd,2011,Oromia,East Hararge,Deder Town,30,76,93,199
Hedar,3rd,2010,Oromia,Assela Town,Assela Town,57,58,2,117
Megabit,7th,2009,Oromia,West Wellega,Genji,50,67,57,174
Tir,5th,2010,Oromia,East Wellega,Kiremu,64,66,30,160
Nehase,12th,2009,Oromia,West Hararge,Oda Bultum,51,3,33,87
Miyazia,8th,2009,Oromia,East Shewa,Bora,55,3,73,131
Nehase,12th,2009,Oromia,Guji,Adola Reda,43,84,63,190
Hedar,3rd,2010,Oromia,East Shewa,Matahara,46,59,44,149
Tir,5th,2011,Oromia,West Wellega,Mene Sibu,87,56,71,214
Tahesas,4th,2010,Oromia,Bale,Ginir,40,83,65,188
Tahesas,4th,2011,Oromia,Guji,Hambela Wamena,4,75,94,173
Yekatit,6th,2009,Oromia,West Hararge,Gelemso Hospital,35,37,23,95
Tahesas,4th,2010,Oromia,North Shewa,Aleiltu,67,25,37,129
Tahesas,4th,2010,Oromia,Jimma,Shabe,18,29,2,49
Nehase,12th,2010,Oromia,Jimma,Tiro Afeta,42,21,81,144
Ginbot,9th,2010,Oromia,East Wellega,Haro Limu,4,0,34,38
Nehase,12th,2009,Oromia,Horo Gudru Wellega,Shambu Hospital,64,51,27,142
Nehase,12th,2010,Oromia,Arsi,Tena,11,80,68,159
Hedar,3rd,2010,Oromia,Arsi,Deksis,7,97,2,106
Sene,10th,2009,Oromia,West Arsi,Wondo,36,54,50,140
Teqemt,2nd,2010,Oromia,Ilu Aba Bora,Darimu,83,3,9,95
Yekatit,6th,2010,Oromia,West Wellega,Nejo Rural,62,75,97,234
Tir,5th,2010,Oromia,Shashamane Town,Shashamane Town,28,31,18,77
Hamle,11th,2009,Oromia,Borena,El Way,36,85,49,170
Sene,10th,2011,Oromia,West Hararge,Oda Bultum,14,96,7,117
Teqemt,2nd,2011,Oromia,East Hararge,Jarso,53,92,6,151
Meskerem,1st,2011,Oromia,South West Shewa,Ameya Hospital,35,55,22,112
Miyazia,8th,2010,Oromia,Guji,Hambela Wamena,66,90,71,227
Hedar,3rd,2011,Oromia,West Wellega,Lalo Asabi,53,39,17,109
Yekatit,6th,2010,Oromia,West Shewa,Ejersa Lafo,50,74,94,218
Megabit,7th,2009,Oromia,Buno Bedele,Chora,50,7,91,148
Tahesas,4th,2011,Oromia,West Wellega,Gimbi Adventist Hospital,50,44,0,94
Tir,5th,2011,Oromia,West Shewa,Ejerie,66,27,71,164
Sene,10th,2009,Oromia,Arsi,Robe,29,14,92,135
Tahesas,4th,2011,Oromia,Arsi,Deksis,15,43,36,94
Nehase,12th,2009,Oromia,Jimma,Omonada,57,40,77,174
Hedar,3rd,2010,Oromia,West Arsi,Bishan Guracha Town,0,41,71,112
Ginbot,9th,2011,Oromia,East Hararge,Haromaya Town,56,54,12,122
Hedar,3rd,2010,Oromia,Horo Gudru Wellega,Hababo Guduru,62,83,44,189
Tahesas,4th,2010,Oromia,Arsi,Digeluna Tijo,33,78,17,128
Yekatit,6th,2010,Oromia,East Hararge,Deder Hospital,61,11,17,89
Ginbot,9th,2010,Oromia,East Wellega,Boneya Bushe,46,23,4,73
Teqemt,2nd,2011,Oromia,Jimma,Limu Seka,67,18,16,101
Hedar,3rd,2011,Oromia,Jimma,Seka Chekorsa,8,64,66,138
Tahesas,4th,2011,Oromia,Arsi,Bekoji Town,71,93,89,253
Nehase,12th,2009,Oromia,Bale,Raitu,54,65,2,121
Tir,5th,2011,Oromia,Bale,Gasera,37,83,10,130
Tir,5th,2010,Oromia,Ilu Aba Bora,Metu Rural,54,85,83,222
Meskerem,1st,2010,Oromia,Guji,Wadara,63,88,40,191
Ginbot,9th,2010,Oromia,East Wellega,Leqa Dulecha,96,4,72,172
Miyazia,8th,2011,Oromia,Arsi,Tena,66,57,79,202
Sene,10th,2011,Oromia,Ilu Aba Bora,Bure,12,39,64,115
Megabit,7th,2009,Oromia,South West Shewa,Kersana Malima,92,57,32,181
Miyazia,8th,2011,Oromia,East Hararge,Garemuleta Hospital,18,91,75,184
Yekatit,6th,2010,Oromia,Guji,Hambela Wamena,65,33,41,139
Tahesas,4th,2010,Oromia,Borena,Wachile,9,58,42,109
Ginbot,9th,2011,Oromia,West Hararge,Meiso,69,13,7,89
Megabit,7th,2010,Oromia,West Shewa,Tikur Enchini,62,34,73,169
Meskerem,1st,2010,Oromia,North Shewa,Dera Hospital,11,26,38,75
Sene,10th,2010,Oromia,Jimma,Mancho,87,16,42,145
Meskerem,1st,2011,Oromia,West Wellega,Mendi Hospital,11,6,56,73
Nehase,12th,2010,Oromia,Guji,Saba Boru,26,96,89,211
Sene,10th,2009,Oromia,West Shewa,Bako Tibe,71,92,63,226
Teqemt,2nd,2011,Oromia,West Hararge,Gelemso Hospital,43,30,11,84
Ginbot,9th,2009,Oromia,West Guji,Bule Hora,38,89,52,179
Miyazia,8th,2010,Oromia,West Shewa,Dendi,95,78,18,191
Meskerem,1st,2010,Oromia,East Wellega,Gudeyabila,99,1,85,185
Nehase,12th,2009,Oromia,Bale,Delo Mena,99,68,62,229
Meskerem,1st,2011,Oromia,East Hararge,Melka Belo,74,27,52,153
Tahesas,4th,2011,Oromia,Jimma,Chora Boter,97,83,28,208
Megabit,7th,2011,Oromia,East Hararge,Bisidimo Hospital,79,88,25,192
Miyazia,8th,2009,Oromia,South West Shewa,St.Luke Hospital,3,84,63,150
Teqemt,2nd,2010,Oromia,West Shewa,Codi,84,30,3,117
Sene,10th,2009,Oromia,West Arsi,Arsi Negele Town,35,3,31,69
Nehase,12th,2010,Oromia,Ilu Aba Bora,Bilonopa,4,87,26,117
Hedar,3rd,2011,Oromia,West Shewa,Ambo,48,44,55,147
Yekatit,6th,2009,Oromia,Arsi,Bale Gesgara,91,72,26,189
Nehase,12th,2009,Oromia,Jimma,Sigmo,54,86,36,176
Hamle,11th,2010,Oromia,Arsi,Hitosa,61,12,33,106
Sene,10th,2009,Oromia,West Arsi,Gedeb Asasa,16,39,2,57
Megabit,7th,2011,Oromia,West Shewa,Ambo,41,92,9,142
Ginbot,9th,2010,Oromia,West Shewa,Elifata,22,10,38,70
Yekatit,6th,2011,Oromia,East Hararge,Haromaya Rural,0,36,63,99
Hamle,11th,2010,Oromia,Arsi,Zeway Dugda,19,90,93,202
Ginbot,9th,2011,Oromia,Jimma,Mancho,71,79,33,183
Ginbot,9th,2011,Oromia,Finfine Zuria,Sandefa,14,15,93,122
Yekatit,6th,2009,Oromia,East Shewa,Liben,64,84,54,202
Nehase,12th,2009,Oromia,West Hararge,Guba Qoricha,95,55,48,198
Hamle,11th,2010,Oromia,Jimma,Nono Benja,29,46,87,162
Tir,5th,2010,Oromia,Ilu Aba Bora,Halu,77,82,45,204
Meskerem,1st,2011,Oromia,South West Shewa,Wonchi,35,34,26,95
Tahesas,4th,2010,Oromia,South West Shewa,Sodo Dac'Ha,79,97,26,202
Sene,10th,2010,Oromia,West Shewa,Ambo,38,72,27,137
Tahesas,4th,2011,Oromia,Ilu Aba Bora,Doreni,84,86,77,247
Yekatit,6th,2010,Oromia,West Hararge,Chiro Town,59,77,36,172
Tahesas,4th,2011,Oromia,Qeleme Wellega,Sedan Chanka,20,92,51,163
Hamle,11th,2009,Oromia,Guji,Hambela Wamena,92,17,86,195
Teqemt,2nd,2010,Oromia,Arsi,Bekoji Town,89,52,72,213
Hedar,3rd,2010,Oromia,Buno Bedele,Bedele Zuriya,93,95,23,211
Miyazia,8th,2011,Oromia,West Hararge,Chiro Zuriya,68,1,3,72
Hedar,3rd,2010,Oromia,West Guji,Bule Hora Toun,45,13,94,152
Teqemt,2nd,2011,Oromia,Borena,Moyale,95,94,70,259
Megabit,7th,2010,Oromia,Guji,Hambela Wamena,79,43,71,193
Hedar,3rd,2011,Oromia,East Shewa,Gimbichu,13,81,36,130
Sene,10th,2009,Oromia,Adama Special Town,Adama Town,99,74,78,251
Yekatit,6th,2010,Oromia,Jimma,Mana,37,69,28,134
Miyazia,8th,2009,Oromia,East Hararge,Girawa,56,21,16,93
Sene,10th,2011,Oromia,Guji,Adola Hospital,63,19,53,135
Tir,5th,2011,Oromia,Jimma,Sekoru,32,92,40,164
Hedar,3rd,2010,Oromia,Qeleme Wellega,Hawa Gelan,31,24,86,141
Yekatit,6th,2011,Oromia,Bale,Legehida,31,71,8,110
Ginbot,9th,2009,Oromia,Bale,Seweyna,68,16,80,164
Sene,10th,2011,Oromia,West Arsi,Arsi Negele Rural,5,49,36,90
Nehase,12th,2009,Oromia,West Hararge,Bedesa Town,54,61,98,213
Hedar,3rd,2010,Oromia,South West Shewa,Dawo,71,66,39,176
Meskerem,1st,2010,Oromia,West Shewa,Inchini Hospital,64,60,84,208
Ginbot,9th,2011,Oromia,West Wellega,Homa,49,22,56,127
Sene,10th,2009,Oromia,West Guji,Hanbala,70,49,96,215
Tahesas,4th,2011,Oromia,East Hararge,Girawa,18,23,47,88
Hedar,3rd,2011,Oromia,Ilu Aba Bora,Becho,16,82,20,118
Megabit,7th,2010,Oromia,West Shewa,Meta Waliqite,60,43,37,140
Teqemt,2nd,2011,Oromia,Finfine Zuria,Mullo,16,37,39,92
Tahesas,4th,2011,Oromia,Arsi,Digeluna Tijo,17,22,91,130
Sene,10th,2010,Oromia,Qeleme Wellega,Dale Wabera,74,68,65,207
Ginbot,9th,2010,Oromia,South West Shewa,Wonchi,0,64,18,82
Sene,10th,2009,Oromia,Guji,Negele Hospital,78,40,83,201
Hedar,3rd,2011,Oromia,East Shewa,Liben,21,13,46,80
Tahesas,4th,2010,Oromia,Borena,Dilo,50,20,5,75
Sene,10th,2011,Oromia,Guji,Adola Reda,53,96,94,243
Tahesas,4th,2010,Oromia,West Arsi,Bishan Guracha Town,27,98,85,210
Tir,5th,2010,Oromia,Buno Bedele,Gechi,7,11,87,105
Ginbot,9th,2010,Oromia,Guji,Saba Boru,48,87,59,194
Sene,10th,2009,Oromia,Jimma,Gera,99,67,91,257
Nehase,12th,2009,Oromia,South West Shewa,Wonchi,58,86,79,223
Meskerem,1st,2010,Oromia,Horo Gudru Wellega,Shambu Hospital,77,14,28,119
Megabit,7th,2011,Oromia,West Arsi,Arsi Negele Rural,51,51,28,130
Hedar,3rd,2011,Oromia,Ilu Aba Bora,Yayu,83,24,13,120
Teqemt,2nd,2010,Oromia,West Shewa,Elifata,56,57,61,174
Nehase,12th,2010,Oromia,South West Shewa,Ameya,46,10,30,86
Tir,5th,2011,Oromia,West Shewa,Dano,19,99,10,128
Yekatit,6th,2011,Oromia,West Shewa,Ambo Hospital,97,40,95,232
Ginbot,9th,2011,Oromia,East Hararge,Melka Belo,97,91,81,269
Yekatit,6th,2009,Oromia,Buno Bedele,Bedele Hospital,43,74,78,195
Tir,5th,2009,Oromia,North Shewa,Debre Libanos,36,72,12,120
Nehase,12th,2010,Oromia,Buno Bedele,Dapho Hana,8,76,74,158
Sene,10th,2009,Oromia,East Hararge,Deder,17,60,49,126
Yekatit,6th,2009,Oromia,West Wellega,Homa,38,37,78,153
Nehase,12th,2009,Oromia,West Hararge,Gemechis,41,25,66,132
Yekatit,6th,2011,Oromia,West Guji,Bule Hora,25,76,84,185
Ginbot,9th,2009,Oromia,Arsi,Bekoji Town,11,27,42,80
Ginbot,9th,2011,Oromia,East Shewa,Matahara,11,93,58,162
Nehase,12th,2010,Oromia,Guji,Bore Hospital,38,80,19,137
Megabit,7th,2009,Oromia,South West Shewa,St.Luke Hospital,44,5,84,133
Hedar,3rd,2011,Oromia,Bale,Arena Buluq,73,63,28,164
Yekatit,6th,2011,Oromia,West Arsi,Kokosa,71,63,36,170
Tir,5th,2009,Oromia,West Wellega,Haru,28,76,33,137
Hamle,11th,2010,Oromia,East Wellega,Gobu Seyo,61,86,97,244
Megabit,7th,2009,Oromia,Arsi,Guna,61,11,90,162
Miyazia,8th,2011,Oromia,West Guji,Kercha,64,42,65,171
Sene,10th,2010,Oromia,Arsi,Merti,36,96,64,196
Tahesas,4th,2010,Oromia,West Wellega,Nejo Town,35,35,13,83
Miyazia,8th,2010,Oromia,Assela Town,Assela Town,23,0,28,51
Miyazia,8th,2011,Oromia,West Shewa,Dano,46,89,50,185
Tahesas,4th,2010,Oromia,West Shewa,Ambo,7,9,70,86
Meskerem,1st,2011,Oromia,South West Shewa,Kersana Malima,38,85,35,158
Meskerem,1st,2011,Oromia,West Arsi,Dodola Rural,80,6,25,111
Miyazia,8th,2011,Oromia,Bale,Legehida,39,86,38,163
Megabit,7th,2010,Oromia,Buno Bedele,Dedesa,78,93,46,217
Nehase,12th,2009,Oromia,Finfine Zuria,Sebeta Awas,66,78,42,186
Megabit,7th,2011,Oromia,Borena,Dhas,65,1,52,118
Miyazia,8th,2011,Oromia,West Wellega,Genji,29,83,60,172
Hamle,11th,2010,Oromia,Guji,Negele Town,32,49,58,139
Hamle,11th,2010,Oromia,Ilu Aba Bora,Bilonopa,99,96,14,209
Sene,10th,2011,Oromia,West Arsi,Arsi Negele Rural,88,75,96,259
Ginbot,9th,2010,Oromia,West Shewa,Dano,51,0,92,143
Yekatit,6th,2009,Oromia,West Wellega,Gimbi Adventist Hospital,75,59,75,209
Nehase,12th,2009,Oromia,West Hararge,Burka Dimtu,24,86,13,123
Tahesas,4th,2011,Oromia,Guji,Saba Boru,10,27,80,117
Ginbot,9th,2011,Oromia,West Wellega,Gimbi Rural,94,22,24,140
Teqemt,2nd,2011,Oromia,North Shewa,Aleiltu,51,60,36,147
Miyazia,8th,2009,Oromia,West Hararge,Chiro Zuriya,6,33,50,89
Sene,10th,2011,Oromia,East Hararge,Girawa,79,85,60,224
Miyazia,8th,2009,Oromia,Borena,El Way,36,51,11,98
Tir,5th,2010,Oromia,West Hararge,Habro,85,43,75,203
Hedar,3rd,2011,Oromia,Modjo Town,Modjo Town,1,56,87,144
Tir,5th,2011,Oromia,West Wellega,Gimbi Rural,18,34,74,126
Hedar,3rd,2011,Oromia,West Shewa,Elifata,74,10,83,167
